15089;Salzlandkreis;;SLK, ASL, BBG, SBK, SFT; ST;Bernburg (Saale);180.771;1.427,55;127;
03257;Schaumburg;;SHG, RI; NI;Stadthagen;156.841;675,68;232;
01059;Schleswig-Flensburg;;SL; SH;Schleswig;205.472;2.071,33;99;
16066;Schmalkalden-Meiningen;;SM, MGN; TH;Meiningen;120.214;1.251,17;96;
08127;Schwäbisch Hall;;SHA, BK, CR; BW;Schwäbisch Hall;200.902;1.484,06;135;
06634;Schwalm-Eder-Kreis;;HR, FZ, MEG, ZIG; HE;Homberg (Efze);180.071;1.539,00;117;
09376;Schwandorf;;SAD, BUL, NAB, NEN, OVI, ROD; BY;Schwandorf;149.312;1.458,35;102;
08326;Schwarzwald-Baar-Kreis;;VS, DS; BW;Villingen-Schwenningen;214.065;1.025,34;209;
09678;Schweinfurt;;SW, GEO; BY;Schweinfurt[FN 2];113.977;841,40;135;
01060;Segeberg;;SE; SH;Bad Segeberg;283.562;1.344,47;211;
05970;Siegen-Wittgenstein;;SI, BLB; NW;Siegen;274.074;1.132,89;242;
08437;Sigmaringen;;SIG, SLG, STO, ÜB; BW;Sigmaringen;132.167;1.204,22;110;
05974;Soest;;SO, LP; NW;Soest;300.297;1.328,63;226;
16068;Sömmerda;;SÖM; TH;Sömmerda;67.693;806,88;84;
16072;Sonneberg;;SON, NH; TH;Sonneberg;54.964;460,84;119;
12071;Spree-Neiße;;SPN, FOR, GUB, SPB; BB;Forst (Lausitz);109.635;1.656,98;66;
10046;St. Wendel;;WND; SL;St. Wendel;87.813;476,07;184;
03359;Stade;;STD; NI;Stade;207.700;1.267,40;164;
09188;Starnberg;;STA, WOR; BY;Starnberg;139.329;487,71;286;
01061;Steinburg;;IZ; SH;Itzehoe;132.731;1.055,70;126;
05566;Steinfurt;;ST, BF, TE; NW;Steinfurt;451.712;1.795,76;252;
15090;Stendal;;SDL, HV, OBG; ST;Stendal;106.538;2.424,01;44;
01062;Stormarn;;OD; SH;Bad Oldesloe;246.974;766,24;322;
09278;Straubing-Bogen;;SR, BOG, MAL; BY;Straubing[FN 2];103.041;1.201,63;86;
07337;Südliche Weinstraße;;SÜW; RP;Landau in der Pfalz[FN 2];113.031;639,95;177;
07340;Südwestpfalz;;PS, ZW; RP;Pirmasens[FN 2];89.974;953,59;94;
12072;Teltow-Fläming;;TF, JB, LUK, ZS; BB;Luckenwalde;177.688;2.104,20;84;
09377;Tirschenreuth;;TIR, KEM; BY;Tirschenreuth;72.210;1.084,24;67;
09189;Traunstein;;TS, LF; BY;Traunstein;175.144;1.533,74;114;
07235;Trier-Saarburg;;TR, SAB; RP;Trier[FN 2];148.953;1.102,22;135;
08416;Tübingen;;TÜ; BW;Tübingen;233.546;519,11;450;
08327;Tuttlingen;;TUT; BW;Tuttlingen;145.208;734,37;198;
12073;Uckermark;;UM, ANG, PZ, SDT, TP; BB;Prenzlau;117.432;3.077,03;38;
03360;Uelzen;;UE; NI;Uelzen;91.638;1.462,58;63;
05978;Unna;;UN, LH, LÜN; NW;Unna;393.784;543,21;725;
16064;Unstrut-Hainich-Kreis;;UH, LSZ, MHL; TH;Mühlhausen/Thüringen;94.613;931,60;102;
09778;Unterallgäu;;MN; BY;Mindelheim;147.255;1.229,53;120;
03460;Vechta;;VEC; NI;Vechta;146.539;814,22;180;
03361;Verden;;VER; NI;Verden (Aller);138.626;789,34;176;
05166;Viersen;;VIE, KK; NW;Viersen;297.857;563,27;529;
06535;Vogelsbergkreis;;VB; HE;Lauterbach (Hessen);101.163;1.458,91;69;
14523;Vogtlandkreis;;V, AE, OVL, PL, RC; SN;Plauen;219.100;1.412,46;155;
13075;Vorpommern-Greifswald;;VG, ANK, GW, PW, SBG, UEM, WLG, (HGW); MV;Greifswald;224.956;3.945,64;57;
13073;Vorpommern-Rügen;;VR, GMN, NVP, RDG, RÜG, (HST); MV;Stralsund;215.203;3.216,19;67;
07233;Vulkaneifel;;DAU; RP;Daun;59.313;911,66;65;
06635;Waldeck-Frankenberg;;KB, FKB, WA; HE;Korbach;155.126;1.848,70;84;
08337;Waldshut;;WT, SÄK; BW;Waldshut-Tiengen;171.579;1.131,13;152;
05570;Warendorf;;WAF, BE; NW;Warendorf;282.639;1.319,42;214;
16063;Wartburgkreis;;WAK, EA, SLZ; TH;Bad Salzungen;154.957;1.371,15;113;
09190;Weilheim-Schongau;;WM, SOG; BY;Weilheim in Oberbayern;138.957;966,27;144;
16071;Weimarer Land;;AP, APD; TH;Apolda;82.392;804,47;102;
09577;Weißenburg-Gunzenhausen;;WUG, GUN; BY;Weißenburg in Bayern;94.695;970,78;98;
06636;Werra-Meißner-Kreis;;ESW, WIZ; HE;Eschwege;97.695;1.024,84;95;
05170;Wesel;;WES, DIN, MO; NW;Wesel;457.918;1.042,81;439;
03461;Wesermarsch;;BRA; NI;Brake (Unterweser);88.936;824,76;108;
07143;Westerwaldkreis;;WW; RP;Montabaur;207.803;989,05;210;
06440;Wetteraukreis;;FB, BÜD; HE;Friedberg (Hessen);311.593;1.100,69;283;
15091;Wittenberg;;WB, GHC, JE; ST;Lutherstadt Wittenberg;121.694;1.931,68;63;
03462;Wittmund;;WTM; NI;Wittmund;55.969;656,84;85;
03158;Wolfenbüttel;;WF; NI;Wolfenbüttel;118.290;724,29;163;
09479;Wunsiedel im Fichtelgebirge;;WUN, MAK, REH, SEL; BY;Wunsiedel;70.549;606,36;116;
09679;Würzburg;;WÜ, OCH; BY;Würzburg[FN 2];162.216;968,32;168;
08417;Zollernalbkreis;;BL, HCH; BW;Balingen;193.326;917,57;211;
14524;Zwickau;;Z, GC, HOT, WDA; SN;Zwickau;306.793;949,75;323;
